"Step","breezy-bee-11 - train/loss","breezy-bee-11 - train/loss__MIN","breezy-bee-11 - train/loss__MAX"
"887","1.3051","1.3051","1.3051"
"896","2.0953","2.0953","2.0953"
"905","0.6092","0.6092","0.6092"
"908","1.0865","1.0865","1.0865"
"912","0.5344","0.5344","0.5344"
"915","0.5021","0.5021","0.5021"
"920","0.8713","0.8713","0.8713"
"922","0.5124","0.5124","0.5124"
"927","1.4567","1.4567","1.4567"
"936","1.2046","1.2046","1.2046"
"940","0.907","0.907","0.907"
"941","0.907","0.907","0.907"
"943","0.3512","0.3512","0.3512"
"948","0.9165","0.9165","0.9165"
"952","1.5272","1.5272","1.5272"
"955","0.0727","0.0727","0.0727"
"957","1.6272","1.6272","1.6272"
"959","1.1579","1.1579","1.1579"
"966","0.5019","0.5019","0.5019"
"967","0.5019","0.5019","0.5019"
"973","0.4711","0.4711","0.4711"
"975","0.5257","0.5257","0.5257"
"977","1.2902","1.2902","1.2902"
"978","1.1127","1.1127","1.1127"
"981","1.2466","1.2466","1.2466"
"982","1.2638","1.2638","1.2638"
"985","1.8252","1.8252","1.8252"
"986","0.9417","0.9417","0.9417"
"988","1.2692","1.2692","1.2692"
"997","2.1868","2.1868","2.1868"
"998","0.954","0.954","0.954"
"999","0.954","0.954","0.954"
"1003","0.3231","0.3231","0.3231"
"1004","1.1376","1.1376","1.1376"
"1006","0.2825","0.2825","0.2825"
"1012","0.6494","0.6494","0.6494"
"1013","0.6494","0.6494","0.6494"
"1016","1.2915","1.2915","1.2915"
"1022","0.7397","0.7397","0.7397"
"1025","0.2721","0.2721","0.2721"
"1034","0.4841","0.4841","0.4841"
"1036","0.6647","0.6647","0.6647"
"1041","0.5348","0.5348","0.5348"
"1052","0.207","0.207","0.207"
"1056","0.6745","0.6745","0.6745"
"1059","0.6179","0.6179","0.6179"
"1060","0.9524","0.9524","0.9524"
"1063","0.352","0.352","0.352"
"1065","0.994","0.994","0.994"
"1068","1.9924","1.9924","1.9924"
"1076","0.6707","0.6707","0.6707"
"1081","0.5078","0.5078","0.5078"
"1082","0.6455","0.6455","0.6455"
"1085","0.19","0.19","0.19"
"1093","0.7458","0.7458","0.7458"
"1095","0.1539","0.1539","0.1539"
"1102","0.1239","0.1239","0.1239"
"1103","0.1239","0.1239","0.1239"
"1115","1.4716","1.4716","1.4716"
"1117","1.3308","1.3308","1.3308"
"1118","0.9851","0.9851","0.9851"
"1122","0.8877","0.8877","0.8877"
"1124","0.5107","0.5107","0.5107"
"1126","1.6912","1.6912","1.6912"
"1129","0.0705","0.0705","0.0705"
"1144","1.6867","1.6867","1.6867"
"1145","1.6867","1.6867","1.6867"
"1158","0.3577","0.3577","0.3577"
"1163","1.427","1.427","1.427"
"1164","1.4792","1.4792","1.4792"
"1166","0.9446","0.9446","0.9446"
"1168","0.3004","0.3004","0.3004"
"1171","0.4222","0.4222","0.4222"
"1174","1.8871","1.8871","1.8871"
"1187","0.7088","0.7088","0.7088"
"1193","1.1911","1.1911","1.1911"
"1194","0.4226","0.4226","0.4226"
"1216","0.5072","0.5072","0.5072"
"1225","0.7968","0.7968","0.7968"
"1241","0.9664","0.9664","0.9664"
"1247","1.992","1.992","1.992"
"1249","1.5688","1.5688","1.5688"
"1254","1.0946","1.0946","1.0946"
"1256","1.4505","1.4505","1.4505"
"1257","1.4505","1.4505","1.4505"
"1261","1.4545","1.4545","1.4545"
"1264","0.4846","0.4846","0.4846"
"1265","0.4846","0.4846","0.4846"
"1268","1.2518","1.2518","1.2518"
"1273","0.9898","0.9898","0.9898"
"1276","1.0457","1.0457","1.0457"
"1277","1.0457","1.0457","1.0457"
"1283","1.1967","1.1967","1.1967"
"1287","0.9997","0.9997","0.9997"
"1288","0.7009","0.7009","0.7009"
"1289","0.7009","0.7009","0.7009"
"1295","1.1953","1.1953","1.1953"
"1301","1.8074","1.8074","1.8074"
"1304","0.3527","0.3527","0.3527"
"1313","0.8749","0.8749","0.8749"
"1317","0.1782","0.1782","0.1782"
"1320","1.1713","1.1713","1.1713"
"1322","0.4519","0.4519","0.4519"
"1324","1.4056","1.4056","1.4056"
"1330","0.5692","0.5692","0.5692"
"1332","0.1833","0.1833","0.1833"
"1339","0.3653","0.3653","0.3653"
"1340","1.031","1.031","1.031"
"1347","1.0429","1.0429","1.0429"
"1355","0.5782","0.5782","0.5782"
"1356","0.7991","0.7991","0.7991"
"1358","0.5848","0.5848","0.5848"
"1366","0.665","0.665","0.665"
"1370","0.9175","0.9175","0.9175"
"1388","0.2557","0.2557","0.2557"
"1395","0.7404","0.7404","0.7404"
"1396","0.6867","0.6867","0.6867"
"1401","1.2469","1.2469","1.2469"
"1403","0.1416","0.1416","0.1416"
"1414","0.6723","0.6723","0.6723"
"1417","1.5039","1.5039","1.5039"
"1420","0.7942","0.7942","0.7942"
"1428","1.9703","1.9703","1.9703"
"1430","0.934","0.934","0.934"
"1431","0.934","0.934","0.934"
"1432","0.4147","0.4147","0.4147"
"1436","1.3341","1.3341","1.3341"
"1439","0.5877","0.5877","0.5877"
"1449","2.1408","2.1408","2.1408"
"1460","0.8827","0.8827","0.8827"
"1463","0.9196","0.9196","0.9196"
"1465","0.9397","0.9397","0.9397"
"1469","0.4683","0.4683","0.4683"
"1471","0.2735","0.2735","0.2735"
"1473","1.8447","1.8447","1.8447"
"1480","0.909","0.909","0.909"
"1482","1.7533","1.7533","1.7533"
"1487","1.8943","1.8943","1.8943"
"1492","0.2255","0.2255","0.2255"
"1493","0.2255","0.2255","0.2255"
"1495","0.6906","0.6906","0.6906"
"1499","0.857","0.857","0.857"
"1502","1.8339","1.8339","1.8339"
"1503","1.8339","1.8339","1.8339"
"1505","0.4316","0.4316","0.4316"
"1506","1.2054","1.2054","1.2054"
"1512","0.2664","0.2664","0.2664"
"1514","1.0582","1.0582","1.0582"
"1517","0.6423","0.6423","0.6423"
"1519","0.5669","0.5669","0.5669"
"1521","0.4672","0.4672","0.4672"
"1525","0.3043","0.3043","0.3043"
"1526","1.392","1.392","1.392"
"1527","1.392","1.392","1.392"
"1528","0.4122","0.4122","0.4122"
"1530","1.1539","1.1539","1.1539"
"1532","0.5764","0.5764","0.5764"
"1533","0.5764","0.5764","0.5764"
"1535","1.5778","1.5778","1.5778"
"1536","0.4778","0.4778","0.4778"
"1538","1.3136","1.3136","1.3136"
"1540","1.5795","1.5795","1.5795"
"1544","0.5419","0.5419","0.5419"
"1547","1.2339","1.2339","1.2339"
"1550","0.7005","0.7005","0.7005"
"1551","0.7005","0.7005","0.7005"
"1555","0.045","0.045","0.045"
"1564","1.3988","1.3988","1.3988"
"1565","1.3988","1.3988","1.3988"
"1568","1.007","1.007","1.007"
"1572","0.366","0.366","0.366"
"1575","0.1658","0.1658","0.1658"
"1577","1.1452","1.1452","1.1452"
"1581","0.7573","0.7573","0.7573"
"1586","1.263","1.263","1.263"
"1594","1.9322","1.9322","1.9322"
"1597","1.1701","1.1701","1.1701"
"1602","1.6894","1.6894","1.6894"
"1604","0.1813","0.1813","0.1813"
"1605","0.1813","0.1813","0.1813"
"1606","0.3387","0.3387","0.3387"
"1607","0.3387","0.3387","0.3387"
"1608","1.2219","1.2219","1.2219"
"1609","1.2219","1.2219","1.2219"
"1610","0.0419","0.0419","0.0419"
"1614","1.4028","1.4028","1.4028"
"1616","1.135","1.135","1.135"
"1617","1.135","1.135","1.135"
"1619","0.3821","0.3821","0.3821"
"1626","1.5475","1.5475","1.5475"
"1637","1.8802","1.8802","1.8802"
"1642","1.181","1.181","1.181"
"1647","2.1386","2.1386","2.1386"
"1648","0.591","0.591","0.591"
"1652","0.3188","0.3188","0.3188"
"1654","1.0305","1.0305","1.0305"
"1676","0.1983","0.1983","0.1983"
"1689","1.5559","1.5559","1.5559"
"1694","1.9811","1.9811","1.9811"
"1702","0.4406","0.4406","0.4406"
"1705","0.2726","0.2726","0.2726"
"1706","0.149","0.149","0.149"
"1708","0.8808","0.8808","0.8808"
"1709","0.8808","0.8808","0.8808"
"1713","0.678","0.678","0.678"
"1715","0.427","0.427","0.427"
"1716","1.6135","1.6135","1.6135"
"1720","0.6897","0.6897","0.6897"
"1724","1.3613","1.3613","1.3613"
"1736","1.3075","1.3075","1.3075"
"1738","1.1461","1.1461","1.1461"
"1741","0.5548","0.5548","0.5548"
"1744","0.4333","0.4333","0.4333"
"1750","0.5544","0.5544","0.5544"
"1755","1.2179","1.2179","1.2179"
"1767","2.2085","2.2085","2.2085"
"1768","0.4654","0.4654","0.4654"
"1770","0.9097","0.9097","0.9097"
"1779","1.1328","1.1328","1.1328"
"1782","0.3032","0.3032","0.3032"
"1790","0.9585","0.9585","0.9585"
"1793","0.8247","0.8247","0.8247"
"1799","2.1064","2.1064","2.1064"
"1807","0.7602","0.7602","0.7602"
"1817","0.2398","0.2398","0.2398"
"1819","1.5695","1.5695","1.5695"
"1826","0.2474","0.2474","0.2474"
"1834","1.1961","1.1961","1.1961"
"1836","0.4867","0.4867","0.4867"
"1842","0.1356","0.1356","0.1356"
"1843","0.1356","0.1356","0.1356"
"1845","0.3573","0.3573","0.3573"
"1848","1.4659","1.4659","1.4659"
"1849","1.4659","1.4659","1.4659"
"1858","1.0353","1.0353","1.0353"
"1861","1.2907","1.2907","1.2907"
"1863","1.2564","1.2564","1.2564"
"1864","1.2506","1.2506","1.2506"
"1865","1.2506","1.2506","1.2506"
"1868","0.9003","0.9003","0.9003"
"1872","1.2449","1.2449","1.2449"
"1876","0.8403","0.8403","0.8403"
"1880","0.9337","0.9337","0.9337"
"1881","0.9337","0.9337","0.9337"
"1887","0.4475","0.4475","0.4475"
"1888","1.2268","1.2268","1.2268"
"1890","1.2888","1.2888","1.2888"
"1894","0.8458","0.8458","0.8458"
"1895","0.8458","0.8458","0.8458"
"1897","0.2187","0.2187","0.2187"
"1903","1.2476","1.2476","1.2476"
"1908","0.0287","0.0287","0.0287"
"1912","1.0665","1.0665","1.0665"
"1917","0.3493","0.3493","0.3493"
"1920","1.958","1.958","1.958"
"1923","0.3476","0.3476","0.3476"
"1927","1.4549","1.4549","1.4549"
"1933","0.6842","0.6842","0.6842"
"1935","1.3542","1.3542","1.3542"
"1937","0.2352","0.2352","0.2352"
"1942","1.1476","1.1476","1.1476"
"1945","1.2839","1.2839","1.2839"
"1950","0.9943","0.9943","0.9943"
"1953","0.1421","0.1421","0.1421"
"1955","1.0617","1.0617","1.0617"
"1959","0.7366","0.7366","0.7366"
"1960","0.4706","0.4706","0.4706"
"1973","0.4637","0.4637","0.4637"
"1979","0.1743","0.1743","0.1743"
"1980","0.9402","0.9402","0.9402"
"1984","1.703","1.703","1.703"
"1986","1.2621","1.2621","1.2621"
"1988","0.1594","0.1594","0.1594"
"1990","0.2506","0.2506","0.2506"
"1991","0.2506","0.2506","0.2506"
"2000","0.7185","0.7185","0.7185"
"2001","0.7185","0.7185","0.7185"
"2002","0.5773","0.5773","0.5773"
"2007","1.5193","1.5193","1.5193"
"2008","1.288","1.288","1.288"
"2018","0.2954","0.2954","0.2954"
"2023","0.9576","0.9576","0.9576"
"2025","0.2024","0.2024","0.2024"
"2029","0.9298","0.9298","0.9298"
"2036","1.0757","1.0757","1.0757"
"2037","1.0757","1.0757","1.0757"
"2039","1.4785","1.4785","1.4785"
"2040","0.1211","0.1211","0.1211"
"2041","0.1211","0.1211","0.1211"
"2043","0.2578","0.2578","0.2578"
"2046","0.78","0.78","0.78"
"2052","1.9121","1.9121","1.9121"
"2055","1.2482","1.2482","1.2482"
"2056","0.7732","0.7732","0.7732"
"2057","0.7732","0.7732","0.7732"
"2070","0.1305","0.1305","0.1305"
"2072","0.098","0.098","0.098"
"2075","0.399","0.399","0.399"
"2076","1.0909","1.0909","1.0909"
"2081","0.9891","0.9891","0.9891"
"2084","1.5355","1.5355","1.5355"
"2089","1.2254","1.2254","1.2254"
"2092","1.2464","1.2464","1.2464"
"2101","1.0071","1.0071","1.0071"
"2106","1.6665","1.6665","1.6665"
"2107","1.6665","1.6665","1.6665"
"2108","2.4556","2.4556","2.4556"
"2112","0.9577","0.9577","0.9577"
"2120","0.4281","0.4281","0.4281"
"2123","0.0991","0.0991","0.0991"
"2125","1.7775","1.7775","1.7775"
"2128","0.6268","0.6268","0.6268"
"2133","0.4292","0.4292","0.4292"
"2134","0.5384","0.5384","0.5384"
"2136","1.2487","1.2487","1.2487"
"2137","1.2487","1.2487","1.2487"
"2140","1.1089","1.1089","1.1089"
"2142","0.7537","0.7537","0.7537"
"2145","0.7539","0.7539","0.7539"
"2150","0.5412","0.5412","0.5412"
"2154","0.1891","0.1891","0.1891"
"2155","0.1891","0.1891","0.1891"
"2159","0.8935","0.8935","0.8935"
"2164","0.2112","0.2112","0.2112"
"2165","0.2112","0.2112","0.2112"
"2169","0.8364","0.8364","0.8364"
"2175","0.8957","0.8957","0.8957"
"2178","0.2939","0.2939","0.2939"
"2179","0.2939","0.2939","0.2939"
"2183","0.4223","0.4223","0.4223"
"2185","0.3525","0.3525","0.3525"
"2186","0.2891","0.2891","0.2891"
"2187","0.2891","0.2891","0.2891"
"2199","0.0572","0.0572","0.0572"
"2200","0.1313","0.1313","0.1313"
"2201","0.1313","0.1313","0.1313"
"2212","0.6692","0.6692","0.6692"
"2216","0.6337","0.6337","0.6337"
"2217","0.6337","0.6337","0.6337"
"2218","3.4288","3.4288","3.4288"
"2224","0.3961","0.3961","0.3961"
"2225","0.3961","0.3961","0.3961"
"2226","1.1767","1.1767","1.1767"
"2228","1.5785","1.5785","1.5785"
"2231","0.6626","0.6626","0.6626"
"2232","1.8205","1.8205","1.8205"
"2234","0.8899","0.8899","0.8899"
"2236","1.0971","1.0971","1.0971"
"2239","0.7408","0.7408","0.7408"
