id,inp_count,out_count
426,16,39
627,55,125
1469,51,31
5247,366,121
4237,111,210
2718,130,29
5032,223,78
5159,115,192
3206,70,238
5047,130,228
4144,67,588
3645,378,1744
1901,100,820
2028,17,24
1343,360,202
4773,239,35
2418,44,785
2972,16,39
569,109,402
3525,278,190
3148,26,92
409,16,123
1671,217,94
3946,19,70
2123,215,810
4984,14,15
379,104,61
2603,205,56
2411,45,57
4372,19,71
1843,26,14
1126,67,93
635,177,44
561,299,281
4735,58,61
4296,155,156
2646,269,22
1160,55,27
3710,45,10
5037,12,87
5015,16,39
1389,66,13
1952,83,463
843,168,399
845,75,123
4278,249,386
2007,200,193
5012,22,159
2142,305,139
3442,58,95
4037,108,120
3489,116,10
1639,175,18
1513,16,40
4520,20,67
4894,152,14
88,47,175
926,163,16
2519,260,97
22,75,866
3528,302,364
2988,153,103
4817,55,52
1678,121,77
3299,39,19
3362,96,114
1044,23,43
1844,22,54
3408,83,904
4122,179,476
5079,321,192
1175,143,15
4367,85,149
3038,55,32
944,51,70
3910,227,22
4825,51,509
4059,97,14
4635,163,264
555,156,286
787,100,110
1560,29,39
4109,85,257
4951,430,38
2675,277,43
3197,23,62
2289,173,33
3128,159,83
4998,439,135
968,18,5
3771,353,226
1103,16,39
2676,142,43
2597,16,39
1018,16,39
3932,385,909
4217,53,30
765,25,65
4205,64,26
736,67,105
753,123,108
2522,48,112
2422,242,401
3665,16,39
508,60,107
23,65,316
2936,156,500
943,16,39
2617,211,394
984,141,139
3875,3,4
3953,15,33
2404,204,110
3969,85,15
1350,183,274
520,90,227
4569,16,39
3165,93,32
1301,40,20
305,34,31
1059,24,104
2247,88,104
1329,21,42
2551,62,399
615,140,35
1542,62,12
1064,87,70
3558,263,607
3552,220,877
630,127,178
3782,196,14
2683,90,144
1448,97,98
1078,50,1145
724,67,15
2581,244,47
3105,412,297
480,98,21
3846,71,107
4631,76,96
3825,28,25
390,100,12
2226,51,134
4686,88,124
3936,144,120
1818,300,160
4555,64,65
1657,45,1166
1331,15,38
2147,216,118
322,70,160
1656,147,151
2174,114,36
633,312,18
3547,21,13
2572,102,13
2292,49,6
4733,122,74
2579,16,39
2901,172,24
457,69,57
2754,66,16
1130,320,353
5156,449,174
4807,364,326
599,84,948
4589,112,149
4067,159,255
4964,21,13
2638,89,10
4962,21,13
4288,16,39
1275,69,6
1850,16,44
2776,42,142
4303,42,147
3022,53,168
1838,67,122
3058,19,3
2792,122,441
2569,74,46
2302,16,39
3449,81,121
2552,36,35
3425,39,110
3864,27,51
1380,69,40
3921,225,197
3965,68,17
4709,305,81
2250,45,126
2042,211,13
3616,16,39
1714,67,126
1445,241,50
4667,74,66
2326,317,128
2565,28,27
3767,47,17
2437,138,23
4732,28,31
3318,44,26
1218,195,92
4024,16,39
1043,17,30
848,444,218
3223,144,18
1845,16,39
3611,256,129
40,77,161
486,96,98
980,86,247
4230,83,123
1281,76,67
1363,75,272
2544,16,39
41,167,57
1045,17,93
3402,63,721
1054,38,37
4033,118,259
4219,97,60
1521,153,446
4335,230,129
1674,329,140
43,81,29
1595,111,38
4008,60,127
181,327,659
1457,149,466
2976,120,173
4486,13,9
5000,196,7
4228,134,6
2861,100,342
4955,312,241
4172,56,1167
1764,143,178
1385,17,91
1482,75,34
2089,75,15
623,90,53
4437,88,12
3367,304,381
2192,149,7
952,25,1383
4083,421,417
832,250,813
168,188,105
2,73,297
4341,79,82
3423,16,39
2272,297,151
907,138,1941
2919,16,30
2635,135,14
3774,22,298
1719,72,87
1914,14,8
2068,192,2320
1118,191,166
4965,21,13
1653,247,959
2918,16,39
3828,45,116
4860,93,114
58,158,74
1935,62,84
2066,224,112
2474,216,11
2724,18,263
2994,208,35
4235,121,91
4387,135,132
880,206,558
4985,22,35
3385,259,7
3625,284,381
1492,143,322
5138,144,13
942,37,44
3931,35,27
1730,110,109
1717,16,39
822,439,2885
2785,98,233
3979,146,107
2439,181,294
2021,162,53
1162,87,27
4314,396,3157
3733,163,3073
1420,260,196
3614,480,7
1570,71,142
860,59,213
3855,126,182
4129,251,98
3891,160,419
2271,16,39
4452,88,205
5215,233,11
2399,85,19
3418,110,10
1034,443,106
3642,313,823
3871,16,39
430,16,39
2806,39,26
5112,39,34
3199,136,68
754,46,39
464,110,87
320,430,99
5129,68,61
153,55,205
4332,112,180
2195,36,14
4721,105,92
1247,97,16
3737,50,447
2212,41,13
2798,237,80
4611,132,92
369,242,73
4003,112,12
3796,22,32
3176,16,39
293,51,52
2593,148,17
1347,488,194
1909,49,6
3748,344,274
299,12,31
746,77,96
797,109,483
272,153,545
346,107,62
511,129,295
2194,70,43
1028,344,118
4294,16,39
868,172,50
4386,110,119
2069,60,32
4846,95,238
3724,34,21
1392,274,454
4176,39,36
1945,410,130
808,190,2416
278,279,135
2630,86,13
588,205,28
3452,188,31
788,242,285
339,25,55
3903,159,184
3143,226,670
1212,150,589
1556,112,41
5181,102,29
17,176,1034
3441,16,37
2956,161,56
3705,45,80
987,156,500
3232,46,104
1474,57,67
2714,135,14
42,170,41
395,21,15
4809,67,19
197,303,40
3236,412,126
3186,105,55
1276,19,104
3046,133,102
4545,53,92
1200,499,260
2400,89,22
2846,61,35
5103,105,174
3432,120,11
1264,62,49
4519,59,98
659,214,76
5169,45,20
1573,71,74
433,294,207
3245,16,39
1003,352,157
2588,84,3
4175,40,24
4756,64,31
2815,93,35
5223,136,169
776,175,782
883,150,91
1630,16,39
4996,16,39
3132,171,20
143,83,139
3830,19,17
675,72,195
364,81,302
422,16,39
4621,21,13
5137,92,20
4717,75,91
1964,105,268
432,35,137
760,46,37
1113,88,288
4947,311,96
3578,81,245
51,128,31
1675,259,95
5058,351,11
5104,219,14
1191,219,177
2682,83,19
3848,20,30
1305,22,39
4210,24,22
3226,16,39
2590,88,3
1617,77,143
1888,54,40
5097,304,497
4247,69,171
1939,480,178
368,256,402
237,21,15
1437,330,183
12,173,1124
1629,47,13
5028,30,11
3896,361,60
3207,137,51
3059,19,3
3322,104,26
4262,89,53
2491,232,82
2742,54,9
3115,451,159
107,100,80
3788,18,12
1565,16,39
183,129,206
113,16,39
4413,20,74
3809,97,57
5253,69,57
4521,153,171
4213,19,15
3986,22,748
4293,27,19
4220,131,22
65,361,307
1324,152,32
4881,208,142
1115,117,67
4927,50,170
2946,92,98
2283,28,39
1633,16,39
3758,69,57
161,59,59
2413,16,39
518,305,553
4450,42,76
4532,65,144
3818,16,39
4298,41,76
3801,25,148
3532,18,31
1900,299,832
3777,135,74
5062,253,77
800,95,161
3859,25,39
1923,127,194
4373,122,72
3605,174,33
4391,126,179
437,163,130
807,231,1974
2893,305,139
2849,133,15
4125,418,94
103,205,283
1429,39,202
4688,79,198
2984,16,39
3049,193,86
202,337,18
4641,72,90
2905,180,69
3823,114,404
2220,82,42
1414,109,26
156,57,51
31,330,1588
4321,479,6
4156,18,20
4322,92,16
742,139,30
3061,19,3
1489,102,11
1995,96,199
4982,38,15
4328,36,13
1722,3,93
3869,40,24
4745,45,20
751,74,87
4123,356,160
3231,167,51
3172,39,46
5072,29,52
1842,37,43
3155,401,165
487,111,57
3063,16,6
2202,58,17
1910,102,10
2484,251,14
654,134,16
178,341,241
780,186,70
4826,165,141
3577,107,200
2237,418,4
